longitude,latitude,code,name,type,phone,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city
-112.887,51.566,BLER,Bleriot Ferry Provincial Rec Area,PP,403.823.1749,,,28,2260,NR,AB,12.8,NE,Carbon
-111.199,51.271,BLOO,Blood Indian Park,CP,403.779.2155,early apr-late oct,pull thrus,300,,WE DP SH,AB,,,Youngstown
-114.723,50.612,BLUE,Bluerock - Sheep River Provincial Park,PP,403.949.4261,,,66,5534,NR,AB,20,SW,Millarville
-115.1,50.634,BOUL,Boulton Creek - Peter Lougheed Provincial Park,PP,403.591.6322,,,118,5738,E RS,AB,,,
-112.227,50.433,BOWC,Bow City Park,CP,403.362.6693,early may-late oct,,15,,WE,AB,,,Brooks
-111.379,49.862,BOWI,Bow Island Centennial Park,CP,403.545.2522,mid may-late sep,,20,,E DP SH,AB,,,Bow Island
-115.104,51.081,BOWR,Bow River - Bow Valley Provincial Park,PP,403.673.3985,,,39,4260,NH NR,AB,1.2,E,Kananaskis
-115.081,51.08,BOWV,Bow Valley - Bow Valley Provincial Park,PP,403.673.3985,,,169,4306,WE RS,AB,2.2,E,Kananaskis
-113.237,51.667,BRAC,Braconniers Dam,CP,403.443.5541,mid may-late sep,,10,,,AB,,,Three Hills
-116.556,52.879,BRAZ,Brazeau River Provincial Rec Area,PP,780.865.2154,,,7,4140,NH RS,AB,,,
-114.468,53.115,BRET,Breton RV Park,CP,780.696.3636,mid may-mid oct,pull thrus,35,,WE,AB,,,Breton
-113.979,52.46,BREW,Brewers - Aspen Beach Provincial Park,PP,877.277.3645,,,303,2947,RS,AB,3,E,Bentley
-116.363,52.764,BROW,Brown Creek Provincial Rec Area,PP,780.865.2154,,,9,4224,NH NR,AB,,,
-114.752,52.953,BUCK,Buck Lake Park,CP,,mid may-late oct,,35,,,AB,,,Buck Lake
-114.794,53.022,BUCK,Buck Lake Provincial Rec Area,PP,780.586.2864,,,27,2936,NH NR,AB,7.2,SE,Buck Creek
-112.78,52.515,BUFF,Buffalo Lake Rec Area,PP,800.267.5844,,,30,2568,NH NR,AB,5.8,NE,Rochon Sands
-111.413,52.401,BURM,Burma Park,CP,403.578.4040,mid may-mid oct,,20,,E,AB,,,Brownfield
-115.169,51.59,BURN,Burnt Timber Provincial Rec Area,PP,403.637.2198,,,30,4672,NH NR,AB,24.7,W,Water Valley
-117.803,53.491,CACH,Cache Lake - William A. Switzer Provincial Park,PP,780.865.5600,,,14,3773,NR,AB,,,
-114.717,52.995,CALH,Calhoun Bay Provincial Rec Area,PP,780.586.2864,,,50,2905,NH NR,AB,10.7,SE,Buck Creek
-113.275,55.177,CALL,Calling Lake Provincial Park,PP,,,,,2021,NR,AB,4,SW,Calling Lake
-111.526,53.127,CAMP,Camp Lake Park,CP,780.336.3414,mid may-mid sep,,45,,E,AB,,,Viking
-115.125,50.689,CANY,Canyon - Peter Lougheed Provincial Park,PP,403.591.6322,,,52,5433,NR,AB,,,
-110.716,52.296,CAPT,Capt Ayre Lake and Resort,CP,780.857.2105,mid may-late sep,,80,,WE NR,AB,,,Cadogan
-113.145,51.484,CARE,Carbon East,CP,403.572.3244,mid may-mid oct,,15,,WE,AB,,,Carbon
-113.151,51.485,CARB,Carbon Main,CP,403.572.3244,mid may-mid oct,,20,,WES,AB,,,Carbon
-114.725,52.094,CARO,Caroline Municipal RV Park,CP,403.722.2210,mid may-mid oct,,20,,WE,AB,,,Caroline
-115.63,54.288,CARS,Carson Pegasus Provincial Park,PP,780.778.2664,,,182,2935,E NR,AB,5.7,W,Woodlands County
-114.094,51.567,CARS,Carstairs Municipal,CP,403.337.3341,mid may-mid oct,,30,,E,AB,,,Carstairs
-114.86,51.702,CART,Cartier Creek Provincial Rec Area,PP,403.637.2229,,,19,4079,NH NR,AB,,,
-114.325,49.446,CASF,Castle Falls Rec Area,PP,403.563.5395,,,46,,NH NR,AB,,,
-115.907,51.268,CAST,Castle Mountain - Banff National Park,CNP,403. 762.1550,,,43,4906,FT NR,AB,,,
-114.339,49.403,CASR,Castle River Bridge Rec Area,PP,403.563.5395,,,30,,NH NR,AB,,,
-111.919,52.224,CASL,Castor Lions,CP,403.882.3225,mid apr-late oct,,15,,,AB,,,Castor
-111.909,52.217,CASR,Castor Rec Area,CP,403.882.3225,mid may-mid oct,,40,,E,AB,,,Castor
-114.583,50.287,CATA,Cataract Creek Provincial Rec Area,PP,403.591.6322,,,102,5427,NH NR,AB,22.8,SW,Longview
-110.41,49.93,CAVA,Cavan Lake Rec,CP,403.979.1788,mid may-late sep,,50,,E,AB,,,Medicine Hat
-117.207,56.211,CECI,Cecil Thompson Park,CP,780.322.3831,,pull thrus,5,,N$,AB,,,Peace River
-113.643,50.163,CEN1,Centennial Park,CP,403.549.3761,,,15,,WES,AB,,,Stavely
-114.925,52.383,CEN2,Centennial Park,CP,403 845.3720,mid may-mid sep,,15,,E,AB,,,Rocky Mountain House
-113.078,53.279,CEN3,Centennial Park Family,CP,780.941.2124,mid may-late aug,,65,,E,AB,,,New Sarepta
-110.805,51.417,CERE,Cereal Board of Trade,CP,403.326.3818,mid may-mid sep,pull thrus,15,,E,AB,,,Cereal
-113.504,54.962,CHLL,Chain Lakes (Lower) Provincial Rec Area,PP,780.675.8213,,,,2103,NH NR,AB,22.2,E,Hondo
-114.194,50.217,CHAI,Chain Lakes Provincial Park,PP,403.646.5887,,,124,4372,E NR,AB,21.8,S,Longview
-115.312,52.452,CHAM,Chambers Creek Provincial Rec Area,PP,,,,,3486,NR,AB,,,
-113.148,50.243,CHAM,Champion Community Park,CP,403.897.3833,all year,no tents - pull thrus,10,,E,AB,,,Champion
-118.829,55.781,CHEP,Chepi-Sepe-Municipal,CP,780.864.3998,mid may-late sep,,15,,E,AB,,,Spirit River
-114.605,49.669,CHIN,Chinook Rec Area,PP,403.563.5395,,,99,,NH NR,AB,6.5,NW,Crowsnest Pass
-115.352,53.67,CHIP,Chip Lake Park,CP,780.325.2460,mid may-late oct,pull thrus,20,,NH,AB,,,Wildwood
-113.59,50.021,CLAR,Claresholm Centennial Park,CP,403.625.2751,mid apr-mid oct,,30,,WES RS,AB,,,Claresholm
-113.22,53.003,COAL,Coal Lake South Provincial Rec Area,PP,780.672.7274,,,14,2297,NH NR,AB,1.4,NW,Gwynne
-112.937,49.752,COAL,Coalhurst Miners Memorial,CP,403.381.3033,early may-late sep,,15,,NH,AB,,,Coalhurst
-117.01,53.174,COAS,Coalspur Provincial Rec Area,PP,780.865.2154,,,8,3922,NH NR,AB,,,
-110.196,54.475,COLD,Cold Lake MD,CP,780.639.4121,mid may-mid sep,pull thrus,70,,E,AB,,,Cold Lake
-110.205,54.457,COLD,Cold Lake Provincial Park,PP,780.594.7856,,,117,1761,E RS,AB,8.2,NW,Cherry Grove
-117.206,52.219,COLU,Columbia Icefield - Jasper National Park,CNP,780. 852.6146,,,33,6600,,AB,,,
-117.624,56.954,COND,Condy Meadows Golf Course,CP,780.836.2176,mid may-mid sep,,25,,WES SH,AB,,,Manning
-111.447,52.104,CORO,Coronation Rec Park,CP,403.575.1967  ,mid may-mid oct,,20,,WES DP,AB,,,Coronation
-114.312,51.998,COTD,Cottonwood - Dickson Dam Provincial Rec Area,PP,403.887.5522,,overflow only,,3114,NR,AB,6.1,S,Spruce View
-115.03,52.283,COWL,Cow Lake Rec Area,CP,403.845.5851,mid may-late sep,pull thrus,120,,DP,AB,,,Rocky Mountain House
-113.954,49.1,CRAN,Crandell - Waterton Lakes National Park,CNP,,,,129,4542,NH NR,AB,2.1,NW,Waterton Park
-110.535,54.502,CRAE,Crane Lake East Park,CP,780.573.9940,early may-mid sep,,30,,NH,AB,,,Cold Lake
-110.562,54.501,CRAW,Crane Lake West Park,CP,780.573.9940,early may-mid sep,,25,,WE,AB,,,Cold Lake
-116.357,52.387,CRES,Crescent Falls Provincial Rec Area,PP,403.845.8349,,,31,4630,NH NR,AB,,,
-115.029,52.448,CRIM,Crimson Lake - Crimson Lake Provincial Park,PP,403.845.2330,,,171,3207,E RS,AB,16.7,NW,Alhambra
-113.792,49.137,CROO,Crooked Creek,CP,403.653.1100,early may-late sep,big rigs OK,80,,WES,AB,,,Waterton Park Gate
-113.797,54.654,CROS,Cross Lake - Cross Lake Provincial Park,PP,780.675.8213,,,130,2176,E RS,AB,14.5,E,Flatbush
-118.392,56.096,CUMM,Cummings Lake Rec Area,CP,780.835.5461,mid may-mid oct,,30,,E SH,AB,,,Fairview
-114.882,51.023,DAWS,Dawson Provincial Rec Area,PP,403.673.3985,,equestrian,17,4927,NH NR,AB,14.5,W,Bragg Creek
-112.256,52.872,DAYS,Daysland Golf and Country Club,CP,780.374.3633,mid may-mid sep,no tents,30,,WES,AB,,,Daysland
-114.309,52.014,DICK,Dickson Point - Dickson Dam Provincial Rec Area,PP,403.887.5522,,,25,3084,NR,AB,5,S,Spruce View
-110.015,52.579,DILL,Dillberry Lake Provincial Park,PP,780.853.8221,,,83,2041,E RS,AB,9.6,SE,Chauvin
-111.519,50.76,DINO,Dinosaur Provincial Park,PP,403.378.4342,,,126,2117,E RS,AB,9.6,W,Iddesleigh
-112.577,52.581,DONA,Donalda Ag Society,CP,403.883.2233,mid jun-late oct,big rigs OK,15,,,AB,,,Donalda
-110.849,52.837,DRMI,Dr Middlemass,CP,780.842.3541,mid apr-late oct,may be closed - call first,30,,WES SH,AB,,,Wainwright
-114.981,53.223,DRAY,Drayton Valley RV Park,CP,780.514.2200,all year,pull thrus,60,,WES DP SH RS,AB,,,Drayton Valley
-116.207,52.429,DRYH,Dry Haven Provincial Rec Area,PP,403.845.8349,,,14,4335,NH NW NR,AB,,,
-118.595,55.923,DUNV,Dunvegan Provincial Park,PP,780.538.5350,,,67,,E RS,AB,12.4,N,Rycroft
-114.399,49.904,DUTC,Dutch Creek Rec Area,PP,403.563.5395,,,43,,NH NR,AB,7.4,S,Ranchland No. 66
-115.383,52.908,EAST,East Canal - Brazeau Reservoir Provincial Rec Area,PP,780.894.0006,,,8,3129,NH NR,AB,,,
-111.772,53.096,EAST,Eastview Park,CP,780.336.4747,mid may-late sep,,20,,WES SH RS,AB,,,Viking
-115.169,50.844,EAUC,Eau Claire - Spray Valley Provincial Park,PP,403.673.3985,,,51,5077,NR,AB,16.1,S,Kananaskis
-114.374,52.361,ECKV,Eckville Community Centre,CP,,,,30,,WES RS,AB,,,Eckville
-110.464,52.761,EDGE,Edgerton Sand Castle,CP,780.755.3933,mid may-mid oct,,10,,WES,AB,,,Edgerton
-116.412,53.588,EDSO,Edson Lions Park,CP,780.723.3169,all year,pull thrus,55,,WE DP SH RS,AB,,,Edson
-112.046,50.276,EIDH,EID Historical Park and RV Park,CP,403.362.5010,mid apr-late oct,no tents,20,,WE,AB,,,Scandia
-115.647,52.054,ELKC,Elk Creek Provincial Rec Area,PP,403.845.9275,,,13,4836,NH NR,AB,,,
-110.903,53.866,ELKP,Elk Point Rec Park,CP,780.724–3810,mid may-late sep,,10,,E,AB,,,Elk Point
-116.105,52.947,ELKR,Elk River Provincial Rec Area,PP,780.865.2154,,,16,3682,NH NR,AB,,,
-114.301,53.944,ELKS,Elks Beach,CP,780.967.5029,mid may-mid oct,,335,,WE,AB,,,Lac La Nonne
-110.913,54.023,ELKW,Elks Wilderness Park,CP,,mid may-mid sep,big rigs OK,10,,E,AB,,,Elk Point
-114.498,51.652,ELKT,Elkton Valley,CP,403.335.8099,mid may-mid oct,big rigs OK,100,,WE,AB,,,Cremona
-110.287,49.651,ELKW,Elkwater - Cypress Hills Interprov. Park,PP,403.893.3833,,,80,4016,E RS,AB,0.7,W,Elkwater
-115.11,50.662,ELKP,Elkwood - Peter Lougheed Provincial Park,PP,403.591.6322,,,130,5623,NR,AB,,,
-113.201,51.992,ELNO,Elnora,CP,403.773.3922,mid may-mid oct,,25,,WES RS,AB,,,Elnora
-111.937,50.834,EMER,Emerson Bridge Park,CP,403.362.2772,mid may-mid sep,big rigs OK,60,,WE,AB,,,Brooks
-117.117,53.737,EMER,Emerson Lakes - Sundance Provincial Park,PP,780.865.2154,,,13,3320,NR,AB,,,
-112.437,50.162,ENCH,Enchant Municipal Park,CP,403.739.2245,mid may-mid oct,,150,,WE NR,AB,,,Enchant
-110.913,56.201,ENGS,Engstrom Lake Provincial Rec Area,PP,780.743.7437,,,12,1880,NH NR,AB,24.6,N,Chard
-110.334,54.544,ETHE,Ethel Lake Provincial Rec Area,PP,780.826.3171,,,12,1779,NH NR,AB,15.8,N,Ardmore
-114.628,50.329,ETHR,Etherington Creek Provincial Rec Area,PP,403.591.6322,,,61,5398,NH RS,AB,22.3,SW,Longview
-116.579,52.972,FAIR,Fairfax Lake Provincial Rec Area,PP,780.865.2154,,,39,4317,NH RS,AB,,,
-117.196,55.725,FALH,Falher Municipal,CP,780.837.2247,mid may-late sep,,30,,E DP SH NR,AB,,,Falher
-114.726,51.623,FALL,Fallen Timber Rec Area,PP,403.637.2608,,,34,4156,NR,AB,9.6,NW,Water Valley
-115.069,51.495,FALS,Fallen Timber South Provincial Rec Area,PP,403.637.2198,,,62,4928,NR,AB,19.7,W,Water Valley
-114.061,55.31,FAWC,Fawcett Lake Provincial Rec Area,PP,780.829.2211,,,58,2018,NR,AB,11.1,N,Smith
-110.296,49.649,FERG,Ferguson Hill - Cypress Hills Interprov. Park,PP,403.893.3833,,,50,4016,E RS,AB,0.7,W,Elkwater
-112.976,52.768,FERI,Ferintosh,CP,780.679.8922,mid may-mid sep,,20,,WE DP RS,AB,,,Ferintosh
-116.748,53.457,FICK,Fickle Lake Provincial Rec Area,PP,780.797.4154,,,41,3214,NR,AB,,,
-117.905,56.304,FIGU,Figure Eight Lake Rec Area,PP,780.624.6486,,,20,2266,NH NR,AB,18.5,SW,Dixonville
-110.314,49.662,FIRR,Firerock - Cypress Hills Interprov. Park,PP,403.893.3833,,,99,4016,E RS,AB,0.7,NW,Elkwater
-111.359,52.68,FISH,Fish Lake,CP,780.888.3623,,,10,,E,AB,,,Hardisty
-116.146,52.452,FIRL,Fish Lake Provincial Rec Area,PP,403.845.8349,,,91,4493,WE NR,AB,,,
-114.585,50.79,FISH,Fisher Creek Provincial Rec Area,PP,403.949.4261,,,30,4882,NR,AB,11.2,S,Bragg Creek
-111.624,54.212,FLOA,Floating Stone Lake Rec Area,CP,780.726.3428,mid may-late aug,,40,,E DP SH,AB,,,St Paul
-111.454,49.479,FORE,Foremost Wayside,CP,403.867.3733,mid apr-mid oct,,30,,WES DP SH,AB,,,Foremost
-113.666,54.552,FORF,Forfar Rec Park,CP,780.675.5253,mid may-mid sep,pull thrus,70,,NH RS,AB,,,Athabasca
-111.562,54.477,FORK,Fork Lake Rec Area,CP,780 623.1747,mid may-mid sep,pull thrus,45,,,AB,,,Lac La Biche
-116.124,58.408,FORT,Fort Vermilion Provincial Rec Area,PP,780.927.4222,,,10,,NR,AB,3.7,NW,Fort Vermilion
-113.608,51.325,FOUN,Founders Park - Irricana Municipal,CP,403.371.7376,mid may-late sep,,30,,WE DP SH,AB,,,Irricana
-116.81,54.398,FOXC,Fox Creek RV,CP,780.622.3896,mid may-mid sep,pull thrus,30,,WES SH,AB,,,Fox Creek
-112.012,51.664,FOXL,Fox Lake,CP,403.854.4433,mid may-late sep,,65,,WES SH NR,AB,,,Hanna
-111.008,54.256,FRAN,Franchere Bay Rec Area,PP,780.826.5358,,,60,1770,E RS,AB,5.9,E,Glendon
-113.511,51.499,FRAN,Frank Fooks Memorial Park,CP,403.546.3783,mid may-mid oct,,25,,WE DP,AB,,,Acme
-115.527,54.7,FREL,Freeman Lake Rec Area,CP,,mid may-mid oct,unknown facilities - rough road,5,,,AB,,,Swan Hills
-115.404,54.572,FREE,Freeman River Rec Area,PP,,,,,2860,NR,AB,9.9,S,Swan Hills
-110.027,54.435,FREN,French Bay Provincial Rec Area,PP,780.594.7856,,,10,1906,NH NR,AB,5.7,NE,Cherry Grove
-111.745,54.183,GARN,Garner Lake Provincial Park,PP,780.645.6295,,,61,2041,RS,AB,3.3,N,Spedden
-110.723,50.037,GASC,Gas City,CP,403.529.8158,mid may-mid sep,pull thrus,95,,WES DP SH RS,AB,,,Medicine Hat
-115.027,51.395,GHOS,Ghost Airstrip Provincial Rec Area,PP,403.637.2198,,,170,4930,NR,AB,,,
-113.609,54.893,GHOS,Ghost Lake,CP,780.675.2273,mid may-mid sep,,5,,,AB,,,Athabasca
-114.719,51.221,GHOR,Ghost Reservoir Provincial Rec Area,PP,403.851.0766,,,100,3921,NR,AB,,,
-116.19,52.446,GOLD,Goldeye Lake Provincial Rec Area,PP,403.845.8349,,,44,4567,NR,AB,,,
-110.759,52.118,GOOL,Gooseberry Lake Provincial Park,PP,403.742.7512,,,82,2302,WE NR,AB,7.5,N,Consort
-114.634,50.914,GOOS,Gooseberry Provincial Rec Area,PP,403.949.4261,,,83,4455,NR,AB,3.9,SW,Bragg Creek
-110.026,49.65,GRAB,Graburn - Cypress Hills Interprov. Park,PP,403.893.3833,,,,4016,NH,AB,,,Elkwater
-119.139,53.901,GRAN,Grande Cache Municipal,CP,780.827.2404,mid may-mid oct,pull thrus - long term avail,75,,WES DP SH RS,AB,,,Grande Cache
-118.82,55.181,GRAP,Grande Prairie Rotary Park,CP,,mid may-mid sep,no tents - big rigs OK,60,,WES DP SH,AB,,,Grande Prairie
-117.803,53.492,GRAV,Graveyard Lake - William A. Switzer Provincial Park,PP,780.865.5600,,,12,3802,RS,AB,,,
-114.426,50.457,GREE,Greenford Provincial Rec Area,PP,403.558.2373,,,13,4441,NR,AB,9.9,SW,Longview
-114.639,51.795,GREE,Greenwood,CP,403.638.2130,mid may-mid sep,pull thrus,30,,WES DP SH RS,AB,,,Sundre
-117.806,53.533,GREL,Gregg Lake - William A. Switzer Provincial Park,PP,780.865.5600,,,164,3759,E RS,AB,,,
-111.185,56.485,GREG,Gregoire Lake Provincial Park,PP,780.743.7437,,,140,1623,E RS,AB,,,
-119.745,54.38,GUND,Gunderson Meadows - Two Lakes Provincial Park,PP,780.538.5381,,,32,3774,NR,AB,,,
-111.37,56.423,HANG,Hangingstone Provincial Rec Area,PP,780.743.7437,,,56,1686,NH NR,AB,,,
-112.557,54.301,HANM,Hanmore Lake Provincial Rec Area,PP,780.656.3730,,,30,2209,RS,AB,15.5,E,Newbrook
-111.917,51.647,HANN,Hanna Museum Trailer Park,CP,403.854.4433,mid may-late sep,no tents,40,,E NR,AB,,,Hanna
-111.324,52.672,HARD,Hardisty Lake Park,CP,780.888.2700,mid may-mid oct,swim beach,50,,WES DP SH,AB,,,Hardisty
-115.917,52.503,HARL,Harlech Provincial Rec Area,PP,403.845.8349,,,17,4175,NH NR,AB,,,
-116.826,56.117,HARM,Harmon Valley Park,CP,780.624.6580.,mid may-mid oct,,15,,E,AB,,,Nampa
-114.277,50.676,HELL,Hells Half Acre,CP,403.993.8538,mid may-mid oct,,20,,E RS,AB,,,Turner Valley
-116.002,55.508,HILL,Hilliards Bay Provincial Park,PP,780.849.7124,,,189,1968,E NR,AB,6.2,E,Grouard
-117.573,53.408,HINT,Hinton Centre,CP,780.865.0876,mid may-late sep,pull thrus,40,,NH DP SH,AB,,,Hinton
-112.229,53.235,HOLD,Holden,CP,780.688.3928,all year,pull thrus,10,,E DP,AB,,,Holden
-119.487,55.258,HOMM,Hommy Park,CP,780.354.8039,mid may-mid oct,,25,,WE,AB,,,Beaverlodge
-117.683,52.56,HONE,Honeymoon Lake - Jasper National Park,CNP,780. 852.6146,,,35,4624,NR,AB,27.6,SE,Jasper
-112.647,54.666,HOPE,Hope Lake,CP,780.689.0501,mid may-mid sep,no tents,60,,NH RS,AB,,,Athabasca
-115.312,52.396,HORB,Horburg Provincial Rec Area,PP,403.721.3975,,,12,3409,NR,AB,27.2,W,Alhambra
-116.685,53.573,HORN,Hornbeck Creek Provincial Rec Area,PP,780.797.4154,,,33,3081,NH NR,AB,,,
-111.735,52.223,HUBE,Huber Dam,CP,403.740.6097,mid may-mid sep,,20,,E,AB,,,Castor
-119.553,55.331,HYTH,Hythe Municipal,CP,780.356.3888,all year,big rigs OK,25,,WE PA,AB,,,Hythe
-114.362,50.242,INDI,Indian Graves Campground,PP,403.995.5554,,,38,4864,NR,AB,26.9,W,Nanton
-111.523,53.363,INNI,Innisfree Municipal Rec Park,CP,780.592.2414,mid may-mid sep,big rigs OK,50,,WE FT SH RS,AB,,,Innisfail
-115.13,50.627,INTE,Interlakes - Peter Lougheed Provincial Park,PP,403.591.6322,,,48,5503,NR,AB,,,
-116.802,54.462,IOSE,Iosegun Lake Provincial  Rec Area,PP,,,,,2560,NR,AB,,,
-111.233,52.918,IRMA,Irma Rec Area,CP,780.754.3665,mid may-mid oct,,50,,WES,AB,,,Irma
-111.306,53.995,IRON,Iron Horse Trail,CP,780.645.5313,mid may-mid oct,big rigs OK,45,,WES SH,AB,,,St Paul
-111.55,54.597,IRON,Ironwood Lake - Lakeland Provincial Rec Area,PP,780.623.5235,,,20,2031,NR,AB,16.5,NW,Goodridge
-113.513,54.85,ISLA,Island Lake,CP,780.675.2273,mid may-mid sep,,10,,NH RS,AB,,,Athabasca
-114.673,49.629,ISLL,Island Lake Provincial Rec Area,PP,403.563.5395,,,41,,NR,AB,7.2,W,Crowsnest Pass
-113.108,54.792,JACL,Jackfish Lake,CP,780.675.2273,mid may-mid sep,no tents - pull thrus,35,,NH RS,AB,,,Athabasca
-115.57,52.504,JACK,Jackfish Lake Provincial Rec Area,PP,403.845.8349,,,5,3767,NR,AB,,,
-114.519,51.941,JAMR,James River Bridge  Provincial Rec Area,PP,403.637.2608,,,8,3494,NR,AB,5.1,E,James River Bridge
-115.189,51.82,JAMW,James Wilson Provincial Rec Area,PP,403.637.2229,,,17,4376,NR,AB,,,
-114.082,52.345,JARB,Jarvis Bay Provincial Park,PP,403.887.5522,,,169,3183,E RS,AB,25,NW,Red Deer County
-117.799,53.448,JARL,Jarvis Lake - William A. Switzer Provincial Park,PP,780.865.5600,,,24,3791,RS,AB,,,
-115.993,53.71,JERR,Jerry Vanderwell Memorial Park,CP,780.693.2479,mid may-mid sep,pull thrus,25,,NH VT DW,AB,,,Peers
-113.077,52.721,JOHN,Johnsons Beach,CP,780.372.3884,mid may-mid sep,,65,,WE DP SH RS,AB,,,Bashaw
-115.842,51.243,JOHN,Johnston Canyon - Banff National Park,CNP,403. 762.1581,,,132,4718,FT NR,AB,,,
-117.388,52.418,JONA,Jonas Creek - Jasper National Park,CNP,780. 852.6146,,,25,5400,NR,AB,43.1,SE,Jasper
-118.554,54.421,KAKW,Kakwa River Provincial Rec Area,PP,780.538.5350,,,14,2609,NR,AB,,,
-110.904,54.037,KEHI,Kehiwin Provincial Rec Area,PP,780.645.6295,,,38,1786,NR,AB,6.5,S,Kehewin
-113.549,51.693,KEIV,Keivers Lake Rec Park,CP,403.443.7308,mid may-late aug,,50,,NH FT NW SH RS,AB,,,Three Hills
-111.868,52.788,KILL,Killam Centennial Park,CP,780.385.3977,mid may-mid sep,pull thrus,20,,WE SH,AB,,,Killam
-111.896,50.445,KINB,Kinbrook Island Provincial Park,PP,403.362.2962,,,169,2516,E RS,AB,10,NE,Rainier
-110.147,52.697,KING,Kings Park,CP,780.858.3881,mid may-mid oct,,10,,WES,AB,,,Chauvin
-117.776,53.282,KINK,Kinky Lake - Wildhorse Lake Provincial Rec Area,PP,780.866.2231,,,10,3789,RS,AB,,,
-110.331,53.339,KITS,Kitscoty District Regional Park,CP,780.846.2221,mid may-mid sep,,20,,WE DP SH,AB,,,Kitscoty
-111.874,50.571,KIWA,Kiwanis,CP,403.362.5073,all year,pull thrus,15,,WES,AB,,,Brooks
-117.13,57.973,LACR,La Crete Ferry,CP,780.841.2705,mid may-late sep,,100,,E DP,AB,,,La Crete
-111.316,53.806,LACB,Lac Bellevue Municipal Rec Area,CP,780.645.2639,mid may-late aug,,25,,WE SH,AB,,,St Paul
-115.165,51.052,LAC,Lac Des Arcs - Bow Valley Provincial Park,PP,403.673.3985,,,28,4271,NH NR,AB,,,
-116.17,51.409,LAK2,Lake Louise Tent - Banff National Park,CNP,403. 522.3833,,,206,5025,FT RS,AB,,,
-116.177,51.417,LAK1,Lake Louise Trailer - Banff National Park,CNP,403. 522.3833,,,189,5052,FT RS,AB,,,
-112.918,50.565,LAKM,Lake McGregor Provincial Rec Area,PP,403.897.3933,,very few trees,100,2857,NR,AB,1.6,W,Milo
